what,kind,bundleId,bundleVersion,description,time
started,bundle,org.jboss.tools.common,3.3.0.v20120611-1634-H74-Final,"org.jboss.tools.common",1432948465746
started,bundle,org.jboss.tools.common.model,3.3.0.v20120611-1634-H74-Final,"org.jboss.tools.common.model",1432948465748
started,bundle,org.jboss.tools.common.validation,3.3.0.v20120611-1634-H74-Final,"org.jboss.tools.common.validation",1432948465749
started,bundle,org.jboss.tools.forge.core,1.0.0.v20120611-1732-H94-Final,"org.jboss.tools.forge.core",1432948465750
started,bundle,org.jboss.tools.forge.ui,1.0.0.v20120611-1732-H94-Final,"org.jboss.tools.forge.ui",1432948465750
started,bundle,org.jboss.tools.maven.sourcelookup.core,1.3.0.v20120613-2141-H115-Final,"org.jboss.tools.maven.sourcelookup.core",1432948465752
started,bundle,org.jboss.tools.maven.sourcelookup.ui,1.3.0.v20120613-2141-H115-Final,"org.jboss.tools.maven.sourcelookup.ui",1432948465753
started,bundle,org.jboss.tools.project.examples,1.2.1.v20120612-0012-H106-Final,"org.jboss.tools.project.examples",1432948465754
started,bundle,org.jboss.tools.runtime.ui,1.3.0.v20120611-2354-H105-Final,"org.jboss.tools.runtime.ui",1432948465755
started,bundle,org.jboss.tools.seam.core,3.3.0.v20120612-1916-H130-Final,"org.jboss.tools.seam.core",1432948465756
started,bundle,org.jboss.tools.seam.ui,3.3.0.v20120612-1916-H130-Final,"org.jboss.tools.seam.ui",1432948465758
started,bundle,org.jboss.tools.usage,1.1.0.v20120611-1654-H68-Final,"org.jboss.tools.usage",1432948465758
started,bundle,com.collabnet.subversion.merge,3.0.9,"com.collabnet.subversion.merge",1432948465760
started,bundle,org.tigris.subversion.clientadapter,1.8.3,"org.tigris.subversion.clientadapter",1432948465761
started,bundle,org.tigris.subversion.subclipse.core,1.8.12,"org.tigris.subversion.subclipse.core",1432948465762
started,bundle,org.tigris.subversion.subclipse.mylyn,3.0.0,"org.tigris.subversion.subclipse.mylyn",1432948465763
started,bundle,org.tigris.subversion.subclipse.tools.usage,1.1.0,"org.tigris.subversion.subclipse.tools.usage",1432948465763
started,bundle,org.tigris.subversion.subclipse.ui,1.8.12,"org.tigris.subversion.subclipse.ui",1432948465766
started,bundle,org.codehaus.groovy.eclipse.dsl,2.6.1.xx-20120301-1000-e37-RELEASE,"org.codehaus.groovy.eclipse.dsl",1432948465768
started,bundle,org.eclipse.jdt.core,3.7.3.xx-20120301-1000-e37-RELEASE,"org.eclipse.jdt.core",1432948465771
started,bundle,org.eclipse.jdt.groovy.core,2.6.1.xx-20120301-1000-e37-RELEASE,"org.eclipse.jdt.groovy.core",1432948465772
os,sysinfo,,,"win32",1432948465780
arch,sysinfo,,,"x86",1432948465780
ws,sysinfo,,,"win32",1432948465780
locale,sysinfo,,,"pt_BR",1432948465780
processors,sysinfo,,,"1",1432948465780
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1432948465780
java.runtime.version,sysinfo,,,"1.7.0_75-b13",1432948465780
java.specification.name,sysinfo,,,"Java Platform API Specification",1432948465780
java.specification.vendor,sysinfo,,,"Oracle Corporation",1432948465780
java.specification.version,sysinfo,,,"1.7",1432948465780
java.vendor,sysinfo,,,"Oracle Corporation",1432948465780
java.version,sysinfo,,,"1.7.0_75",1432948465780
java.vm.info,sysinfo,,,"mixed mode, sharing",1432948465780
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1432948465780
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1432948465780
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1432948465780
java.vm.specification.version,sysinfo,,,"1.7",1432948465780
java.vm.vendor,sysinfo,,,"Oracle Corporation",1432948465780
java.vm.version,sysinfo,,,"24.75-b04",1432948465780
started,bundle,org.eclipse.m2e.usagedata,1.0.200.20111228-1245,"org.eclipse.m2e.usagedata",1432948465812
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1432948466082
started,bundle,org.eclipse.equinox.p2.ui,2.1.1.v20120113-1346,"org.eclipse.equinox.p2.ui",1432948467369
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1432948469336
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1432948469352
started,bundle,org.jboss.tools.maven.project.examples,1.3.0.v20120613-2141-H115-Final,"org.jboss.tools.maven.project.examples",1432948475681
closed,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1432948475775
stopped,bundle,org.eclipse.jst.ws.axis.creation.ui,1.0.700.v201104070312,"org.eclipse.jst.ws.axis.creation.ui",1432948477143
stopped,bundle,org.eclipse.jst.ws.axis.consumption.ui,1.0.505.v201004211805,"org.eclipse.jst.ws.axis.consumption.ui",1432948477145
stopped,bundle,org.eclipse.jst.ws.axis.consumption.core,1.0.407.v201104071820,"org.eclipse.jst.ws.axis.consumption.core",1432948477147
stopped,bundle,org.eclipse.jst.ws.axis2.creation.ui,1.0.104.v201004211805,"org.eclipse.jst.ws.axis2.creation.ui",1432948477148
stopped,bundle,org.eclipse.jst.ws.axis2.consumption.ui,1.0.103.v201004211805,"org.eclipse.jst.ws.axis2.consumption.ui",1432948477150
stopped,bundle,org.eclipse.jst.ws.axis2.creation.core,1.0.106.v201004211805,"org.eclipse.jst.ws.axis2.creation.core",1432948477152
stopped,bundle,org.eclipse.jst.ws.axis2.consumption.core,1.0.105.v201004211805,"org.eclipse.jst.ws.axis2.consumption.core",1432948477153
stopped,bundle,org.eclipse.jst.ws.axis2.ui,1.0.303.v201003110431,"org.eclipse.jst.ws.axis2.ui",1432948477155
stopped,bundle,org.eclipse.jst.ws.axis2.core,1.0.204.v201004211805,"org.eclipse.jst.ws.axis2.core",1432948477157
stopped,bundle,org.eclipse.jst.ws.cxf.creation.ui,1.0.100.v201104022153,"org.eclipse.jst.ws.cxf.creation.ui",1432948477159
stopped,bundle,org.jboss.tools.ws.creation.ui,1.2.2.v20120611-1829-H137-Final,"org.jboss.tools.ws.creation.ui",1432948477160
stopped,bundle,org.eclipse.jst.ws.creation.ui,1.0.609.v201103082016,"org.eclipse.jst.ws.creation.ui",1432948477162
stopped,bundle,org.eclipse.jst.ws.cxf.consumption.ui,1.0.0.v201003222311,"org.eclipse.jst.ws.cxf.consumption.ui",1432948477164
stopped,bundle,org.jboss.tools.ws.ui,1.2.2.v20120611-1829-H137-Final,"org.jboss.tools.ws.ui",1432948477166
stopped,bundle,org.jboss.tools.ws.creation.core,1.2.2.v20120611-1829-H137-Final,"org.jboss.tools.ws.creation.core",1432948477166
stopped,bundle,org.jboss.tools.ws.core,1.2.2.v20120611-1829-H137-Final,"org.jboss.tools.ws.core",1432948477168
stopped,bundle,org.eclipse.jst.ws.consumption.ui,1.1.402.v201201250306,"org.eclipse.jst.ws.consumption.ui",1432948477172
stopped,bundle,org.eclipse.jst.ws.consumption,1.0.603.v201202012024,"org.eclipse.jst.ws.consumption",1432948477174
stopped,bundle,org.eclipse.jst.ws.cxf.consumption.core,1.0.0.v201003222311,"org.eclipse.jst.ws.cxf.consumption.core",1432948477176
stopped,bundle,org.eclipse.jst.ws.cxf.creation.core,1.0.100.v201104022153,"org.eclipse.jst.ws.cxf.creation.core",1432948477189
stopped,bundle,org.eclipse.jst.ws.cxf.ui,1.0.0.v201004171919,"org.eclipse.jst.ws.cxf.ui",1432948477191
stopped,bundle,org.eclipse.jst.ws.cxf.core,1.0.100.v201104022153,"org.eclipse.jst.ws.cxf.core",1432948477194
stopped,bundle,org.eclipse.jst.ws.uddiregistry,1.0.500.v201004211805,"org.eclipse.jst.ws.uddiregistry",1432948477197
stopped,bundle,org.eclipse.jst.ws.ui,1.0.403.v201004211805,"org.eclipse.jst.ws.ui",1432948477198
stopped,bundle,org.eclipse.jst.ws,1.0.509.v201108250610,"org.eclipse.jst.ws",1432948477200
stopped,bundle,org.eclipse.wst.ws.explorer,1.0.607.v201103082002,"org.eclipse.wst.ws.explorer",1432948477202
stopped,bundle,org.eclipse.wst.wsdl.ui,1.2.403.v201108240515,"org.eclipse.wst.wsdl.ui",1432948477205
stopped,bundle,org.eclipse.wst.ws.ui,1.1.200.v201004211805,"org.eclipse.wst.ws.ui",1432948477206
stopped,bundle,org.eclipse.wst.wsi.ui,1.0.502.v201104071820,"org.eclipse.wst.wsi.ui",1432948477208
stopped,bundle,org.eclipse.wst.wsi,1.0.401.v201104071820,"org.eclipse.wst.wsi",1432948477209
stopped,bundle,org.eclipse.wst.ws,1.1.203.v201004211805,"org.eclipse.wst.ws",1432948477211
stopped,bundle,org.eclipse.jst.j2ee.webservice.ui,1.1.500.v201105122000,"org.eclipse.jst.j2ee.webservice.ui",1432948477213
stopped,bundle,org.eclipse.jst.j2ee.webservice,1.1.400.v201004110600,"org.eclipse.jst.j2ee.webservice",1432948477213
stopped,bundle,org.eclipse.wst.ws.parser,1.0.403.v201004211805,"org.eclipse.wst.ws.parser",1432948477214
stopped,bundle,org.eclipse.jpt.dbws.eclipselink.ui,1.0.0.v201104110000,"org.eclipse.jpt.dbws.eclipselink.ui",1432948477216
stopped,bundle,org.eclipse.m2e.logback.configuration,1.0.200.20111228-1245,"org.eclipse.m2e.logback.configuration",1432948477216
stopped,bundle,org.eclipse.datatools.enablement.hsqldb.ui,1.0.0.v201108120600,"org.eclipse.datatools.enablement.hsqldb.ui",1432948477218
stopped,bundle,org.eclipse.datatools.enablement.ingres.ui,1.0.0.v201105270214,"org.eclipse.datatools.enablement.ingres.ui",1432948477221
stopped,bundle,org.eclipse.datatools.enablement.postgresql.ui,1.0.0.v201107221506,"org.eclipse.datatools.enablement.postgresql.ui",1432948477222
stopped,bundle,org.eclipse.datatools.enablement.sqlite.ui,1.0.0.v201107221507,"org.eclipse.datatools.enablement.sqlite.ui",1432948477224
